image_id,target_class,deletion_auc,insertion_auc
ISIC_0026247,5,0.9197942614555359,0.7663068771362305
ISIC_0028467,5,0.8369307518005371,0.7434654235839844
ISIC_0033312,4,0.07417946308851242,0.09061016142368317
ISIC_0029884,5,0.738675594329834,0.8253942131996155
ISIC_0028900,5,0.7056556344032288,0.8379382491111755
ISIC_0025489,5,0.8505014777183533,0.8626229166984558
ISIC_0025265,5,0.8711265325546265,0.9092163443565369
ISIC_0029909,2,0.0655403882265091,0.0983792319893837
ISIC_0033074,5,0.7931236028671265,0.9139017462730408
ISIC_0034087,5,0.9516061544418335,0.9218272566795349
ISIC_0032722,5,0.8040267825126648,0.919231116771698
ISIC_0033362,5,0.8311877846717834,0.9364061951637268
ISIC_0032602,4,0.13429193198680878,0.19481313228607178
ISIC_0032724,4,0.15721218287944794,0.11041953414678574
ISIC_0033129,4,0.06685682386159897,0.14416854083538055
ISIC_0033180,6,0.04424956813454628,0.11545756459236145
ISIC_0033962,5,0.6853212118148804,0.8358125686645508
ISIC_0033603,5,0.8340700268745422,0.8681075572967529
ISIC_0033337,5,0.7777926325798035,0.8889119029045105
ISIC_0033594,5,0.7512262463569641,0.9731776118278503
ISIC_0033241,5,0.7213574051856995,0.7498557567596436
ISIC_0032598,4,0.08245861530303955,0.1618434488773346
ISIC_0034289,5,0.63785320520401,0.891735851764679
ISIC_0033687,4,0.020632274448871613,0.04221242293715477
ISIC_0034085,4,0.06964237987995148,0.051021892577409744
ISIC_0028082,4,0.027721932157874107,0.10867925733327866
ISIC_0033863,5,0.7953125238418579,0.8189764022827148
ISIC_0034180,4,0.08237418532371521,0.09429221600294113
ISIC_0033267,4,0.046388838440179825,0.07467174530029297
ISIC_0033651,4,0.2539941370487213,0.08490083366632462
ISIC_0033304,4,0.1242499053478241,0.18852271139621735
ISIC_0033042,5,0.8893569707870483,0.8167188167572021
ISIC_0027402,5,0.7086268067359924,0.7431780099868774
ISIC_0032462,5,0.8303465843200684,0.9182026386260986
ISIC_0032982,5,0.9316080808639526,0.8650899529457092
ISIC_0033196,5,0.7292783856391907,0.87448650598526
ISIC_0032653,5,0.9150261282920837,0.8662770390510559
ISIC_0033392,4,0.177339106798172,0.13595521450042725
ISIC_0032873,4,0.1915116161108017,0.13340836763381958
ISIC_0032862,6,0.112781822681427,0.10677328705787659
ISIC_0033073,6,0.09613864123821259,0.1880032867193222
ISIC_0033696,6,0.10198599100112915,0.06717175245285034
ISIC_0033668,5,0.7843255996704102,0.8427891731262207
ISIC_0032690,5,0.9106689691543579,0.8085020184516907
ISIC_0032918,5,0.8589780330657959,0.8154335618019104
ISIC_0032807,4,0.01852276176214218,0.09064311534166336
ISIC_0032645,5,0.8823321461677551,0.9607305526733398
ISIC_0033394,4,0.05178660899400711,0.11902979761362076
ISIC_0034233,4,0.04985232651233673,0.17480073869228363
ISIC_0024640,4,0.1561054140329361,0.20544330775737762
ISIC_0026167,5,0.7433733940124512,0.9342727065086365
ISIC_0028984,5,0.8416922688484192,0.9268275499343872
ISIC_0032197,5,0.7945513725280762,0.7952257990837097
ISIC_0028965,4,0.15341611206531525,0.09594684839248657
ISIC_0027793,5,0.8873257040977478,0.9300376176834106
ISIC_0028003,5,0.7997398972511292,0.8829636573791504
ISIC_0027302,5,0.6853185296058655,0.9617172479629517
ISIC_0030932,4,0.01572335697710514,0.06936302781105042
ISIC_0032036,2,0.09607131034135818,0.18412163853645325
ISIC_0025748,5,0.8144627809524536,0.9426806569099426
ISIC_0026916,4,0.13103391230106354,0.0982651636004448
ISIC_0027863,0,0.018793227151036263,0.09768343716859818
ISIC_0026694,5,0.7136276960372925,0.8212234377861023
ISIC_0024313,5,0.7054735422134399,0.735375165939331
ISIC_0026774,5,0.8600857257843018,0.8659973740577698
ISIC_0030047,5,0.8132137656211853,0.8810734152793884
ISIC_0026571,4,0.04108639061450958,0.06365622580051422
ISIC_0030653,5,0.8171214461326599,0.8991992473602295
ISIC_0030950,4,0.05544785037636757,0.16040447354316711
ISIC_0028103,2,0.053835801780223846,0.0636436939239502
ISIC_0030255,5,0.9141944050788879,0.9133925437927246
ISIC_0029495,5,0.8824626207351685,0.8778722882270813
ISIC_0032269,3,0.006378352642059326,0.028911424800753593
ISIC_0031350,4,0.021325375884771347,0.13673155009746552
ISIC_0026930,5,0.761236310005188,0.9339701533317566
ISIC_0027350,5,0.7412528395652771,0.8844172954559326
ISIC_0028218,4,0.03800041973590851,0.021814772859215736
ISIC_0024805,4,0.059160441160202026,0.062136322259902954
ISIC_0030032,4,0.22908586263656616,0.051624853163957596
ISIC_0025543,2,0.06368689984083176,0.14262492954730988
ISIC_0032433,5,0.8401392698287964,0.8479315042495728
ISIC_0027480,5,0.8464787602424622,0.8370509743690491
ISIC_0031821,5,0.7637974619865417,0.8817200660705566
ISIC_0028026,4,0.07487896829843521,0.1117204874753952
ISIC_0027904,4,0.027307171374559402,0.03868155553936958
ISIC_0028666,2,0.1251680999994278,0.11536134034395218
ISIC_0026735,5,0.6265794634819031,0.778209924697876
ISIC_0031368,2,0.1970338374376297,0.15085262060165405
ISIC_0031900,4,0.04740295931696892,0.0798964872956276
ISIC_0025414,2,0.057834185659885406,0.07178957760334015
ISIC_0030925,2,0.09747812896966934,0.12476087361574173
ISIC_0031377,5,0.8694161176681519,0.823340117931366
ISIC_0030604,4,0.0205648522824049,0.1291571706533432
ISIC_0024958,5,0.7457715272903442,0.7338887453079224
ISIC_0028075,0,0.035662200301885605,0.03370099887251854
ISIC_0026823,4,0.035365838557481766,0.08368648588657379
ISIC_0028968,2,0.04331159219145775,0.08584923297166824
ISIC_0024739,2,0.2416549175977707,0.20401166379451752
ISIC_0029404,6,0.5814822316169739,0.06655409932136536
ISIC_0030275,6,0.3268865942955017,0.06671349704265594
ISIC_0032745,2,0.04274750128388405,0.07987658679485321
